`courseid`	`course`	`coursename`	`credit`	`required`	`description`
`050028`	`AFST345`	`Black American Music`	`3`	``	`An in-depth study of the development of the music of blacks in the United States from early colonial period to the present. Particular attention will be devoted to slave songs, the evolution of the blues and jazz, and the Africanisms evident in these idioms. Recommended Preparation: AFST 245 or MUSC 215`
`050004`	`AFST347`	`Gender, Race, and Media`	`3`	``	`This course critically examines how ideologies of gender, race, class, ethnicity and sexuality are produced and disseminated in a range of media genres and forms such as film, television, music, advertising, news, visual and performing arts, the Internet, radio, and print media. As consumers and producers of media, students will learn to <br />assess how media articulates, creates, and enforces identities and power. Students will practice tools of critical reading and thinking, such as textual analysis, visual discourse analysis, and the basics of media literacy. Recommended Preparation: GWST 100 and (200 or 210).`
`102175`	`AFST348`	`Black, Queer, and Feminist Film`	`3`	`You must have completed ART 216 or ART 221 with a grade of C or better.`	`This course examines prominent themes in films that fall within the categories "Black," "Queer," and "Feminist". Most of the films are narrative, dealing with issues involving race, gender, and sexuality. This course is not just about watching films. It makes extensive use of critical historical and theoretical texts from the disciplines of<br />psychoanalysis, feminism, literary and queer theory, as well as from film history,<br />art history, and critical theories of race, gender, and sexuality. Prior knowledge of film-making and/or film history/theory is not required.`
`050003`	`AFST350`	`Psychology of Racism`	`3`	`You must have completed AFST 255 and earned a grade of C or better to take this course.`	`Analysis of current psychological theory and research on individual and institutional racism.`
`052084`	`AFST351`	`Black Political Thought`	`3`	``	`An exposition and critical analysis of major political and social ideas of contemporary black leaders. Emphasis will be placed on the content of the thinkers' ideas and on societal factors. Recommended preparation: Junior/senior standing or permission of instructor.`
`050008`	`AFST352`	`African-American History to 1865`	`3`	``	`An in-depth examination of the social, political and economic history of African Americans in the United States from the 1600s to the Civil War era focusing on chattel slavery, the free black community, family, abolitionism, resistance and the Civil War. Recommended preparation: AFST 100 or AFST 206 or junior/senior standing or permission of instructor.`
`050011`	`AFST353`	`African American History Since 1865`	`3`	``	`An in-depth examination of the political, social, economic and cultural history of African Americans in the United States from the Reconstruction era following the Civil War up to present. Topics include African Americans and the military, the Great Depression, migrations, urbanization, racism, family, civil rights and current issues. Recommended preparation: AFST100 or AFST206  or junior/senior standing or permission of the instructor`
`050010`	`AFST354`	`African American Women's History`	`3`	``	`This course traces the history of African -American women in the United States, beginning with their ancestors' history in pre-colonial Africa and U.S. slavery to the present. Topics covered include work; family roles; activism; achievements; and bouts with racism, sexism and poverty. Recommended Preparation: Any 100-level Social Science course or 200-level Literature course or junior/senior standing or permission of the instructor`
`050002`	`AFST360`	`Studies in Black Fiction`	`3`	``	`Critical examinations of selected works of fiction by and about blacks based on a particular historical period, theme, type or direction. Selected works may be from one or more of the three areas of concentration (Africa, United States, Caribbean and Latin America). Topics to be announced each semester offered. Recommended Preparation: AFST260 or AFST261. This course is repeatable up to 6 credits.`
`050022`	`AFST361`	`Studies in Black Drama`	`3`	`You must complete AFST 261.`	`The portrayal of the black experience in plays by primarily black dramatists. Examination of problems encountered in reading or producing plays of black writers. Experiments and new directions in black drama and theatre. Selections will treat a specific historical period, theme or group of dramatists from one or more areas of concentration: Africa, the United States, Caribbean and Latin America. Topics to be announced each semester offered. This course is repeatable up to 6 credits.`
`052085`	`AFST362`	`Studies in Black Poetry`	`3`	`You must complete AFST 260 or AFST 261.`	`Examination of a theme, group of poets, or historical period in the development and evolution of black poetry. The special contribution of poetry in the development of a black ethos and a black consciousness. Poets may come from one or more of three geographic areas: Africa, the United States, the Caribbean and Latin America. Special selections of black poetry from other areas may be included. Topics to be announced each semester offered. This course is repeatable up to 6 credits.`
`052086`	`AFST363`	`Literature, Society and Blacks: Regional`	`3`	``	`Blacks and black society as reflected in the creative literature written by or about blacks from a geographic region of Africa, from North America (especially from the United States), or from the Caribbean and Latin America. The focus will be on poetry, drama, fiction or some combination of these. Recommended Preparation: AFST 260 or AFST261. This course is repeatable up to 12 credits.`
`100097`	`AFST364`	`Advanced Writing in Africana Studies`	`3`	``	`An advanced writing course that complements students' liberal arts training for careers in Africana Studies related professions/fields such as international relations, education, history, journalism, community action, non-profit organization, government affairs, public relations, law, public-speaking, and diversity training and mediation.  This course differs from AFST 264 with respect to rigor and content by requiring students to utilize advanced skills of critical analysis within the framework of interdisciplinarity introduced in AFST 100 and AFST 264 to draft a complex final research paper whose topic and approach reflects their evolving intellectual advancement.  While the course continues to address the globally recognized traditions of excellence celebrated by the Nobel committee (this time concerning Peace not Literature), as an upper division seminar, it prioritizes such content in terms of history, politics, social justice, and cultural philosophy.  Students will thus have a unique opportunity to chronicle their philosophical responses to political events, systems of oppression, and humanitarian activism through journaling and through the ongoing development of complex critical ideas that will evolve into theses that support both short and lengthy assignments.  Recommended Preparation: ENGL 100, AFST 100, or any 200-level AFST course with a grade of "C" or better, or permission of the instructor.`
`051153`	`AFST367`	`Workshop in Black Theatre`	`6`	``	`A workshop for students with experience in production and commitment to black drama. At least one play will be studied in depth and directed for stage production. Recommended Preparation: Permission of instructor`
`050031`	`AFST368`	`African Religions in Africa and the Diaspora`	`3`	``	`A comparative study of selected indigenous African religions and an examination of African religious survivals in the New World. Continuity and change in the principal forces of the religious systems: the Supreme Being, the cosmic gods, the ancestors and lesser spirits, as well as the relation-ship to other religions. Recommended Preparation: Junior/senior standing`
`052087`	`AFST369`	`Black Families in the United States`	`3`	``	`A historical and contemporary analysis of black families in America and the forces that have influenced black family life. A reassessment of the numerous social science theories about the black family and an attempt to correct distortions. The effects that the African background, slavery, racism and the black community have had on black-American family lifestyles. Recommended Preparation: Junior/senior standing`
`050007`	`AFST370`	`Black Women: Cross-Cultural Perspectives`	`3`	``	`A comparative examination of selected social and psychological factors that influence the lives of black women in Africa and the diaspora. Recommended Preparation: AFST 100, GWST 100 or permission of instructor`
`050009`	`AFST371`	`The Female Offender`	`3`	``	`An examination of causes and incidence of female crime and the exploration of major theories from Freud to the feminist. Community response to female crime and alternative forms of treatment are evaluated. Recommended Preparation: AFST 271 or junior/senior standing`
`052088`	`AFST372`	`Economic Activity in the Black Community`	`3`	``	`Afro-American economic activity in urban and rural America. The development of black participation in the economy. The dilemmas of black capitalism. Income distribution, policies, strategies and programs to combat economic powerlessness of blacks in the United States. Recommended Preparation: ECON 101 or permission of instructor`
`052089`	`AFST375`	`The Black Church`	`3`	``	`The emergence and development of the black church as a distinctive institution in the United States. An evaluation of the authority of the black church in religious and secular matters. The functions of the black church in urban communities. Recommended Preparation: Junior/senior standing or permission of instructor`
`052090`	`AFST377`	`Black Community Development`	`3`	``	`This course focuses on specific research, planning and organizing skills needed by community development workers and on techniques and strategies of helping community members achieve their personal and collective goals. Consideration also is given to the main types of community research and intervention. Recommended Preparation: AFST 271`
`052091`	`AFST378`	`Population Dynamics of Black Americans`	`3`	``	`This is a study of the population and demographic characteristics of Afro-Americans. Topics to be discussed include patterns and significance of the variation in fertility, family planning, mortality, migration and urbanization.Population and politics, population and resources, and the depopulation of rural areas. Recommended Preparation: Junior/senior standing or permission of instructor`
`052092`	`AFST381`	`Urban Housing Policy`	`3`	``	`The course studies the urban housing problems of the black community, their causes, effects and proposed remedies for them. While much of this course deals with the housing problems of blacks in Baltimore, the problems studied are common to major cities within the United States. Recommended Preparation: Junior/senior standing or permission of instructor`
`050019`	`AFST385`	`Problem-Solving in the Urban Black Community`	`3`	``	`Urban problems within the Black community. Nature and types of problems, causes (internal and external), effects and remedies. Topics to be announced each semester offered. Recommended Preparation: AFST 271 or junior/senior status`
`050029`	`AFST390`	`American Health Care System and the Black Community`	`3`	``	`A course for students concerned with the health status of black, poor and minority people. Analysis of the relationship between the condition of the health of black people in America and the health delivery system. Specific attention will be on federal, state and local health care policies; personnel training in health administration; medical care organizations; financing and research and evaluation. Recommended Preparation: HAPP 100, AFST 271 or junior/senior status`
`052093`	`AFST411`	`American Foreign Policy and Africa`	`3`	``	`American policy toward Africa, focusing on the period since World War II. Issues include East-West rivalry, liberation movements in southern Africa, the political economy of aid and trade (the North-South dialogue), and such cultural questions as the New Information Order and the role of the Peace Corps. Recommended Preparation: AFST 211 or AFST212`
`050018`	`AFST415`	`Music, Art and Society in West Africa`	`3`	``	`A study of the functions and form of traditional and contemporary music in several West African ethnic groups. The use of instrumentation and voice will be studied through listening and performance. A class visit to one museum housing these instruments is required. Recommended Preparation: AFST 245`
`050017`	`AFST420`	`Comparative Slavery: Africa and the New World`	`3`	``	`Historical examination and comparison of the emergence of domestic slavery in Africa and chattel slavery in the New World and the Americas. Explores the social conditions that shaped these institutions and that led to overt and covert forms of resistance and slavery's eventual decline. Recommended Preparation: AFST 212 or AFST352 or junior/senior standing`
`052094`	`AFST430`	`Health Care in Africa`	`3`	``	`Patterns of health care in Africa. Analysis of economic, political, demographic and cultural factors that influence health care delivery. Common diseases. The practice of curative medicine in urban centers and primary health care in rural areas. Traditional medicine, modern paramedical programs, child and maternal health care, family planning, nutrition, pharmacies, health education, financing, etc., and their meaning for Africa's development. Recommended Preparation: AFST 211 or AFST390`
`100280`	`AFST439`	`Women in Africa and the Diaspora`	`3`	``	`This course uses the comparative approach to examine the experiences of women of African descent from the era of the trans-Atlantic slave trade to the present. It will introduce students to interdisciplinary and comparative theories and materials that will enable them to explore the economic, cultural, social and political roles of women in Africa and African descended women in the United States. Using comparative gender analysis as its theoretical focus with a global perspective, the course emphasizes the diverse, shared historical experiences of women of African descent as enslaved persons, colonial subjects and victims of all forms of oppression as well as agents of social change. Examined as well are their roles in society as mothers, daughters, wives and workers along with their participation in social and political movements since the abolition era. The course also highlights how such other social indexes as class, race, ethnic, national and religious backgrounds affect women's lives and roles in society. Problems and issues that directly affect them and how to improve their status in the face of increased globalization will be explored.`
`052095`	`AFST440`	`Topics in African and African-American Studies`	`3`	``	`Seminar for upper-level students on topics to be selected by instructor. Recommended Preparation: One or more 300-level courses in Africana concentration. This course is repeatable up to 6 credits or 2 attempts.`
`050016`	`AFST442`	`African-Caribbean Music`	`3`	``	`The song and dance music of Caribbean countries will be studied through listening and performance. The derivatives of African religious and cult music found in Haiti, Trinidad-Tobago and Cuba will be examined. The influences of French and Spanish cultures on the form and content of African-Caribbean songs and dances also will be studied. Recommended Preparation: AFST 245`
`050015`	`AFST445`	`Black Music in the New  World`	`3`	``	`This is a seminar devoted to topics focusing on particular aspects of Afro-American, Afro-Caribbean and/or Afro-Latin music. The quality, type and intensity of Africanisms in the music of a region, a group or an era will be explored. An intensive examination of the development of new musical idioms, including the reciprocity of African with European influences. A research paper or project is required. Recommended Preparation: AFST 245 and junior/senior standing or permission of the instructor`
`052096`	`AFST450`	`Black Philosophical Thought in the Twentieth Century`	`3`	``	`The complexity of the ideas of major black thinkers A. Locke, H. Thurman and W.E.B. DuBois as they dealt with philosophical theory and criticism. An analysis and discussion of that body of knowledge that deals with metaphysical and material approaches to thought. Recommended Preparation: Honors major and senior standing`
`052097`	`AFST453`	`Topics in the Psychology of the Black Experience`	`3`	``	`Topics to be announced. An intensive examination of current trends, theory and practice in selected areas, e.g., the black personality, testing of American minorities, psychological methodology and research on black populations,gender roles in the black community, black psychology, mental health in the Black community. Recommended Preparation: AFST255. This course is repeatable up to 6 credits.`
`100298`	`AFST460`	`Seminar in Black Hair and Body Politics`	`3`	``	`This course will focus on constructions of Black hair and the Black body in media of the 20th and 21st century. The seminar combines primary readings, personal anecdotes, and applied research about the body, its extremities (such as hair), its<br />performance of sexualities and identities in the context of the production of culture and social relations. Examining this body of literature from a range of theoretical and applied perspectives enables analysis and discussion of the processes used in the creation of cultural meaning-making. Additionally, a critique of the readings will also afford the opportunity to explore alternatives to the perpetuated materialist or constructivist binary existing in approaches to the body. Measures of<br />prescription give way to problematizing and questioning the readings in order to explore dynamic resolutions at the individual level. AFST or AMST or other social sciences of humanities course focused on American society or culture will provide students a knowledge base useful for this course.`
`052098`	`AFST465`	`Seminar in African and African-American Literature`	`3`	``	`A study of creative writers of African descent in America, Africa and the Caribbean and the impact of their works on the shaping of consciousness among black people. Focus on issues and themes such as alienation, confrontation, accommodation, revolution, tradition and modernism, the New Negro, Negritude, African personality, BlackPower, etc. Topics will be announced each semester offered. Recommended Preparation: AFST 260 and 261; one of AFST360,361, or 362; or permission of the instructor. This course is repeatable up to 6 credits or 2 attempts.`
`052099`	`AFST473`	`The Black Senior Citizen`	`3`	``	`The historic and contemporary role that the black aged have played in black communities. Attention is given to special problems that afflict the black aged, such as higher frequency of illnesses, earlier deaths, social isolation. Methods for working out solutions to problems of the black aged. Recommended Preparation: Junior/Senior status or permission of the instructor`
`052100`	`AFST490`	`Community Internship Project`	`6`	``	`Specified period of internship in which students are exposed to practical and associational experiences with workers in community planning, health, welfare, correctional services and other development agencies. Registration by permission of instructor. Note: Students are expected to work out internship plans with the instructor well in advance of proposed starting date. Recommended Preparation: AFST377. This course is repeatable up to 12 credits.`
`052101`	`AFST495`	`Field Research in Africana Studies`	`0`	``	`Supervised empirical research in the field. Prior approval of written research proposal by a faculty member must be secured. Individual meeting with supervising faculty member on regular basis is required. Written report expected. Note: Students should obtain AFST guidelines on directed individual study from the department. Recommended Preparation: AFST301`
`052102`	`AFST498`	`Directed Individual Study`	`0`	``	`Directed work in the systematic investigation of a problem selected by the student in consultation with an advisor. May be taken in conjunction with the research paper option for majors in Africana studies. Recommended Preparation: Approved written proposal by supervising instructor based on the directed individual study guide obtainable from the department. This course is repeatable up to 6 credits.`
`052103`	`AFST499`	`Honors Thesis`	`0`	``	`Open only to students who have outstanding records of academic achievement and who are Africana studies majors. Students must enroll for both semesters of the sequence. Credit and grade will be assigned upon the completion of the thesis. Approval of topic by department required prior to assignment of faculty supervisors.`
`052104`	`AGNG100`	`So You Say You Want a Revolution: How Boomers are  Revolutionizing Aging`	`3`	``	`Baby Boomers, who revolutionized youth, are now aging.  This course uses multimedia to examine Boomers' historical, cultural and socioeconomic experiences to see why Boomers will challenge stereotypes about aging.  Implications of this demographic wave for the creation of a new social and entrepreneurial landscape are discussed.  Students will apply this multidimensional analysis to past and future cohorts to understand the revolutionary nature of why aging is not what it used to be, and what this means to each of us.`
`100016`	`AGNG100Y`	`So You Say You Want  a Revolution: How Boomers are Revolutionizing Aging`	`4`	``	`Baby Boomers, who revolutionized youth, are now aging.  This course uses multiple media to examine Boomers' historical, cultural, and socioeconomic experiences to see why Boomers will challenge stereotypes about aging.  Implications of this demographic wave for the creation of a new social and entrepreneurial landscape are discussed.  Students will apply this multidimensional analysis to past and future cohorts to understand the revolutionary nature of why aging is not what it used to be, and what this means to each of us.`
`052105`	`AGNG200`	`Aging People, Policy and Management`	`3`	``	`Based in the life-course perspective, this course blends academic analysis of human aging in social context with more experiential learning, including exposure to literature on older adults, awareness exercises about aging in the news and talking with older adults in and out of class to debunk common myths and stereotypes regarding aging and older adults. Academic content is broadly social, in terms of understanding family and community contexts of aging, the individual experience of aging including productivity, spirituality and typical engagement, normal changes and diseases common in physical and psychological health,and a focus on how society views aging. Finally, students will be encouraged to identify themselves as aging individuals, on a trajectory toward later life.`
`100132`	`AGNG200Y`	`Aging People, Policy and Management`	`4`	``	`Based in the life-course perspective, this course blends academic analysis of human aging in social context with more experiential learning, including exposure to literature on older adults, awareness exercises about aging in the news and talking with older adults in and out of class to debunk common myths and stereotypes regarding aging and older adults. Academic content is broadly social, in terms of understanding family and community contexts of aging, the individual experience of aging including productivity, spirituality and typical engagement, normal changes and diseases common in physical and psychological health,and a focus on how society views aging. Finally, students will be encouraged to identify themselves as aging individuals, on a trajectory toward later life.`
`057341`	`AGNG298`	`Special Topics in Management of Aging Services`	`3`	``	`This course addresses special topics in the area of aging services for lower-level students, without substantial background. Topics will vary and will be announced in advance of the semester in which the course is offered. This course is repeatable up to 6 credits or 2 attempts.`
`057342`	`AGNG300`	`Introduction to Policy and Aging Services`	`3`	`You must complete AGNG 200`	`This course introduces students to the policy making process and the resultant services and products that affect older persons. Social and economic foundations of policy, the role of government and interest groups, basics of policy analysis, legal and ethical considerations are examined. The current aging services network and the service and business opportunities needed to meet the needs of aging persons now and in the future are viewed as they are affected by the nature of the aging cohorts, the essentials of policy development, and electoral politics.`
`100183`	`AGNG301`	`Intermediate Policy Analysis for Aging Issues`	`3`	``	`A continuation of AGNG 300, this course emphasizes the further exploration and application of policy tools and processes. Field trips will exhibit first hand governmental policy processes as well as the relevance of current<br />policy issues and application in the private sectors. Through these visits students will witness programs in action and gain perspectives of participants, program staff and managers about the challenges and rewards of community<br />programs at work. The course will focus student discussion and debate on a range of current aging service policy issues including entitlements, housing, human resources (care-givers), end-of-life, retirement and pensions and<br />community service.`
`100444`	`AGNG310`	`Introduction to the Management of Aging Services`	`3`	``	`The objective of this course is to provide students with a fundamental understanding of the unique challenges inherent in managing aging services organizations, and to learn the aging services manager's role in planning,<br />organizing, staffing, leading, and evaluating. The course uses practical applications to enable students to apply the fundamental principles of both project management and transactional management in an aging services environment, as well as, in understanding the challenges and contemporary issues facing the 21st century manager in aging services organizations. Students will be exposed to the hierarchy of management competencies, and be prepared to make the transition to entry level management positions in aging services while learning how to effectively manage people, understanding how to create a strategic management framework to capture and grow an organization to its full potential. This course reviews a variety of organizational management issues, as they are<br />unique in the aging services sector, such as organizational performance, organizational culture, management theories, and reviews a number of quality assessment tools.`
`100483`	`AGNG311`	`Intermediate Management of Aging Services`	`3`	``	`The objective of this course will build on AGNG 310, and provide students with an intermediate level, practical, evidence based perspective of management in an aging services organization. The course will provide an opportunity for students to build and expand on the introductory theory and practice course by applying their management competency and philosophy to learn about organizational culture, staffing, leadership, and evaluation skills in an aging services environment. The course will develop the students' practical application, critical thinking and analytical skills involving complex aging services management issues, including change management, project management, managing a multicultural aging services organization, transactional management, and the unique challenges of the 21st century manager in today's aging services organizations. Students will be exposed to core management theories as they apply to the aging services sector, including: building a learning organization, effective change management, handling conflict management, management by objectives, total quality management, and organizational performance management. Students will become knowledgeable in practicing and applying these theories to critical matters as managers and leaders will foresee themselves in the future in aging services organizations.`
`100436`	`AGNG320`	`Strength-Based Approaches to Promoting Health and Wellness in the Aging Services - Part One`	`3`	``	`The AGNG 320 course is intended for students who plan a career in the aging services field and are interested in leading innovation and change in their area of expertise. The course addresses aging related problems from the biopsychosocial domains through creating strength-based interventions that capitalize on the older person's existing skills, resources, and adaptive capacities. This course is designed to be the first of a two-part sequence, with the second course focusing on mental health and wellness.`
`100484`	`AGNG321`	`Strength-Based Approaches to Achieving Mental Wellness in the Older Adult`	`3`	`You must complete AGNG 320 with a C or better`	`The AGNG 321 course is intended for students who plan a career in the Aging Services field and are interested in leading innovation and change in their area of expertise. The course prepares students in creating strength-based programs and services to achieve mental wellness using the older adult's existing skills, resources, and adaptive capacities. This course is a continuation of AGNG 320 which focuses on addressing age-related changes in physical health.`
`100969`	`AGNG351`	`Business Decision Making for Aging Services`	`3`	`You must complete AGNG 200`	`The course develops a knowledge base sufficient to allow students to both appreciate and become conversant with the application of basic individual and business-related decision making skills to issues facing all individuals especially older adults as well as organizations engaged in the provision of aging services. Through a case study approach based firmly in aging services, it surveys a range of topics including economic behavior (motivation), marginal analysis, the market forces of supply & demand, illustrations of market failure, the mechanics of profit maximization, the time value of money and personal financial strategies to cope with the predicted sea changes resulting from the aging of the population.`
`101844`	`AGNG358`	`Advanced Study in Management of Aging Services`	`3`	`You must complete AGNG100 or AGNG200 or ANTH211 or PSYC100 or SOCY101 or POLI200`	`Provides students with the opportunity for advanced study of topics such as the promotion of healthy physical, psychological, and social aging in health and human services. Focuses on how health and human services can promote developmental potential in older adults. Encourages students to delve into a study of the role that aging persons will play in their selected field of health and human services. Also, students will conduct research on topics in aging and examine how this research relates to their major and future career goals. Recommended Course Preparation:Introductory social or behavioral science course`
`100021`	`AGNG361`	`Technology for Management of Aging Services`	`3`	`You must complete AGNG100 and IS101 or IS147`	`This course will introduce students to the history of technology, both as a social/cultural phenomenon that has shaped the lives of those entering their later years as well as an enabler to improve and enhance quality of life for aging Americans.  Students will be introduced to various types of technology and to how they can be used to improve the care and quality of life for aging Americans.  Recent advances in technology such as electronic health records, home monitoring devices, software and tools that enhance seniors' connections with the outside world and turn therapy into recreation, and electronic tools that can be used to manage and enhance an organization's approach to improving its culture and care practices will be examined.  Guest speakers and opportunities to see some of these technologies either in use or through live demonstrations or video will be featured.`
`102265`	`AGNG369`	`Contemporary Issues, Cultures, and Social Work Practices in Aging`	`3`	``	`This course uses a cultural framework to explore social issues, trends, policies, and services affecting older people and their families focusing on diversity of the aging experience. Students who complete this course will be able to create and evaluate culturally sensitive services for older adults that consider the intersectionality of membership in varying groups. Topics include: physical and mental aging, aging theory, social work practice with older adults, cultural approaches to aging, and special populations. Recommended Course Preparation: Six social science credits, at least one course in Social Work or Aging`
`057343`	`AGNG399`	`Independent Study in the Management of Aging Services`	`0`	`You must complete 9 Credits in AGNG`	`Directed independent study, completed under the direction and review of a faculty member affiliated with the program. Credit is variable, reflecting varied scope of student projects. Variable credit course repeatable up to 6 credits.`
